SubAgency,Description,Latitude,Longitude,Accident,Belts,Personal Injury,Property Damage,Fatal,Commercial License,Commercial Vehicle,Alcohol,Work Zone,Search Conducted,State,VehicleType,Year,Make,Model,Color,Article,Contributed To Accident,Race,Gender,Driver City,Driver State,DL State,Arrest Type,Speeding,Violation Type
"2nd District, Bethesda",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,38.990518,-77.094788,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2011.0,TOYOTA,CAMRY,GRAY,Transportation Article,False,ASIAN,F,CLARKSBURG,MD,MD,A - Marked Patrol,No,Warning
Headquarters and Special Operations,EXCEEDING HIGHWAY WORK ZONE SPEED LIMIT,39.06117,-77.052963,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2013.0,SUBA,4S,SILVER,Transportation Article,False,WHITE,M,ROCKVILLE,MD,MD,Q - Marked Laser,Yes,Warning
"4th District, Wheaton",DRIVER FAILURE TO OBEY DESIGNATED LANE DIRECTIONS,39.04391,-77.063237,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2009.0,HONDA,CIVIC,"BLUE, DARK",Transportation Article,False,WHITE,F,ROCKVILLE,MD,MD,L - Motorcycle,No,Warning
"6th District, Gaithersburg / Montgomery Village","PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER TR 17-106, 26-204, 26-206, 27-103",39.12199,-77.17858,No,No,No,No,No,No,No,No,No,No,MD,05 - Light Duty Truck,2007.0,FORD,TK,WHITE,Transportation Article,False,ASIAN,M,SILVER SPRING,MD,MD,A - Marked Patrol,No,Citation
"2nd District, Bethesda",EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH,39.060111,-76.998183,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2021.0,HONDA,ACCORD,MAROON,Transportation Article,False,OTHER,M,SILVER SPRING,MD,MD,Q - Marked Laser,Yes,Warning
"6th District, Gaithersburg / Montgomery Village",OPERATING VEHICLE ON HIGHWAY WITH UNAUTHORIZED WINDOW TINTING MATERIAL,39.123857,-77.240178,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2013.0,TOYOTA,CAMRY,BLUE,Transportation Article,False,WHITE,M,GERMANTOWN,MD,MD,A - Marked Patrol,No,Warning
"6th District, Gaithersburg / Montgomery Village",DISPLAY SUSPENDED LIC.,39.157358,-77.188798,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2015.0,TOYOTA,COROLLA,RED,Transportation Article,False,HISPANIC,M,GAITHERSBURG,MD,MD,Q - Marked Laser,No,Citation
"3rd District, Silver Spring",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,39.106218,-76.915465,No,Yes,No,No,No,No,No,No,No,No,WV,02 - Automobile,2012.0,MERCEDES,ML350,WHITE,Transportation Article,False,BLACK,M,MARTINSBURG,WV,WV,A - Marked Patrol,No,Warning
"4th District, Wheaton",DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,39.082315,-77.079588,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2006.0,LEXUS,SUV,BLACK,Transportation Article,False,BLACK,F,ROCKVILLE,MD,MD,A - Marked Patrol,No,Citation
"5th District, Germantown",FAILURE VEH. TO YIELD INTERSECTION RIGHT-OF-WAY TO ANOTHER VEH.,39.245615,-77.205822,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1996.0,HONDA,ACCORD,SILVER,Transportation Article,False,BLACK,F,GERMANTOWN,MD,MD,A - Marked Patrol,No,Warning
"2nd District, Bethesda",OPERATOR NOT RESTRAINED BY SEATBELT,39.043377,-77.121367,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2001.0,HONDA,ACCORD,SILVER,Transportation Article,False,ASIAN,M,ROCKVILLE,MD,MD,A - Marked Patrol,No,Citation
"5th District, Germantown",EXCEEDING THE POSTED SPEED LIMIT OF 50 MPH,39.159947,-77.275293,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2015.0,ACUR,RDX,SILVER,Transportation Article,False,ASIAN,M,BOYDS,MD,MD,G - Marked Moving Radar (Stationary),Yes,Warning
"4th District, Wheaton",DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,39.154593,-77.067315,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2006.0,PORS,TK,SILVER,Transportation Article,False,WHITE,M,CLARKSBURG,MD,MD,B - Unmarked Patrol,No,Warning
"6th District, Gaithersburg / Montgomery Village",FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,39.163643,-77.157503,No,No,No,No,No,Yes,No,No,No,No,MD,02 - Automobile,1997.0,HONDA,CR-V,SILVER,Transportation Article,False,HISPANIC,M,BROOKVILLE,MD,MD,A - Marked Patrol,No,Citation
"4th District, Wheaton",DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL,39.059472,-77.048988,No,No,No,No,No,No,No,Yes,No,No,MD,02 - Automobile,1992.0,HONDA,4S,RED,Transportation Article,False,HISPANIC,M,HYATTSVILLE,MD,MD,A - Marked Patrol,No,Citation
"1st District, Rockville",DRIVER CHANGING LANES WHEN UNSAFE,39.06439,-77.156945,No,No,No,No,No,No,No,No,No,No,PA,02 - Automobile,2003.0,TOYT,COROLLA,WHITE,Transportation Article,False,WHITE,F,JOHNSTOWN,PA,PA,A - Marked Patrol,No,Warning
"3rd District, Silver Spring",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,39.055465,-76.958018,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2006.0,TOYT,RAV 4,SILVER,Transportation Article,False,BLACK,F,SILVER SPRING,MD,MD,A - Marked Patrol,No,Warning
"2nd District, Bethesda","PERSON DRIVING MOTOR VEH. ON HWY., ON REVOKED OUT OF STATE LIC.",38.99122,-77.095383,No,No,No,No,No,No,No,No,No,No,DC,02 - Automobile,2005.0,CHEVROLET,TAHOE,WHITE,Transportation Article,False,BLACK,M,WASHINGTON,DC,DC,A - Marked Patrol,No,Citation
"2nd District, Bethesda",DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,39.007187,-77.097596,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2006.0,NISS,4S/SENTRA,BLACK,Transportation Article,False,WHITE,M,SHELBINA,MO,MO,A - Marked Patrol,No,Citation
"4th District, Wheaton",EXCEEDING THE POSTED SPEED LIMIT OF 45 MPH,39.080658,-77.074807,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2003.0,ACURA,TL,SILVER,Transportation Article,False,WHITE,M,OLNEY,MD,MD,A - Marked Patrol,Yes,Warning
"3rd District, Silver Spring",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,38.995377,-77.029584,No,No,No,No,No,No,No,No,No,No,DC,02 - Automobile,2004.0,HONDA,ACCORD,GOLD,Transportation Article,False,BLACK,F,WASHINGTON,DC,DC,B - Unmarked Patrol,No,Citation
"4th District, Wheaton",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,39.061755,-77.047547,Yes,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2001.0,HONDA,ODESSEY,GRAY,Transportation Article,True,HISPANIC,M,SILVER SPRING,MD,XX,A - Marked Patrol,No,Citation
Headquarters and Special Operations,EXCEEDING THE POSTED SPEED LIMIT OF 25 MPH,39.044287,-77.062883,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2009.0,ACURA,TSX,SILVER,Transportation Article,False,HISPANIC,M,WHEATON,MD,MD,B - Unmarked Patrol,Yes,Warning
"2nd District, Bethesda",Throwing trash on public highway,39.022748,-77.133358,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2007.0,NISS,2S,WHITE,Transportation Article,False,ASIAN,F,ROCKVILLE,MD,MD,A - Marked Patrol,No,Citation
"3rd District, Silver Spring","STOPPING, STANDING, PARKING VEH. WHERE PROHIBITED BY OFFICIAL SIGN",38.99588,-77.001587,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2014.0,HYUN,ACCENT,WHITE,Transportation Article,False,BLACK,F,TAKOMA PARK,MD,MD,A - Marked Patrol,No,Warning
"1st District, Rockville",DRIVING UNDER THE INFLUENCE OF ALCOHOL PER SE,39.113945,-77.235482,No,No,No,No,No,No,No,Yes,No,Yes,MD,02 - Automobile,2008.0,HONDA,CIVIC,SILVER,Transportation Article,False,WHITE,F,GAITHERSBURG,MD,MD,A - Marked Patrol,No,Citation
"1st District, Rockville",EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH,39.128228,-77.161867,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2012.0,VW,TIBUAN,BLUE,Transportation Article,False,WHITE,M,GAITHERSBURG,MD,MD,A - Marked Patrol,Yes,Warning
Headquarters and Special Operations,OPERATING VEHICLE ON HIGHWAY WITH UNAUTHORIZED WINDOW TINTING MATERIAL,39.073523,-77.002598,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2020.0,CHEVY,MALIBU,WHITE,Transportation Article,False,BLACK,M,HYATTSVILLE,MD,MD,S - License Plate Recognition,No,Citation
"5th District, Germantown","PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER TR 17-106, 26-204, 26-206, 27-103",39.17914,-77.24045,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2015.0,TOYOTA,CAMRY,BLUE,Transportation Article,False,HISPANIC,M,GAITHERSBURG,MD,MD,Q - Marked Laser,No,Citation
"1st District, Rockville","NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY, LIFE AND PERSON",39.184492,-77.262588,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2012.0,CRYSLER,200,RED,Transportation Article,False,WHITE,M,DAMASCUS,MD,MD,A - Marked Patrol,No,Citation
"1st District, Rockville",FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,39.046872,-77.201792,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2015.0,FORD,FUSION,BLACK,Transportation Article,False,BLACK,M,SILVER SPRING,MD,MD,Q - Marked Laser,No,Warning
"4th District, Wheaton",FAILURE TO IMMEDIATELY RETURN AND REMAIN AT SCENE OF ACCIDENT INVOLVING BODILY INJURY,39.048315,-77.087268,No,No,No,No,No,No,No,No,No,No,FL,02 - Automobile,2015.0,BUICK,ENCLAVE,BLACK,Transportation Article,False,WHITE,F,SILVER SPRING,MD,MD,A - Marked Patrol,No,Citation
"2nd District, Bethesda",DRIVING MOTOR VEH. WHILE LIC. SUSPENDED UNDER 27-103,39.018673,-76.974853,No,No,No,No,No,No,No,No,No,No,MD,28 - Other,2007.0,CHEVY,VAN,WHITE,Transportation Article,False,HISPANIC,M,ACCOKEEK,MD,MD,S - License Plate Recognition,No,Citation
"4th District, Wheaton",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,39.040477,-77.054825,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2012.0,HYUN,4S,BLACK,Transportation Article,False,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,No,Warning
"6th District, Gaithersburg / Montgomery Village",DRIVER FAILURE TO STOP AT STEADY CIRCULAR RED SIGNAL,0.0,0.0,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2018.0,SUBARU,OUTBACK,BLUE,Transportation Article,False,WHITE,M,GAITHERSBURG,MD,MD,A - Marked Patrol,No,Warning
"2nd District, Bethesda",STOP LIGHTS (*),39.011362,-77.116078,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2006.0,TOYT,TK,BLUE,Transportation Article,False,BLACK,M,CHEVY CHASE,MD,MD,A - Marked Patrol,No,Repair Order
"3rd District, Silver Spring",FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,38.999602,-76.995797,No,No,No,No,No,No,No,No,No,No,DC,02 - Automobile,2002.0,BUICK,SEDAN,GRAY,Transportation Article,False,BLACK,M,WASHINGTON,DC,DC,A - Marked Patrol,No,Citation
"4th District, Wheaton",WINDOW TINT,39.151595,-77.064583,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2000.0,MERC,GRAN MARQUIS,BLUE,Transportation Article,False,WHITE,F,BELTSVILLE,MD,MD,A - Marked Patrol,No,Repair Order
"4th District, Wheaton",FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION,39.15149,-77.063517,No,No,Yes,No,No,No,No,No,No,No,MD,02 - Automobile,2010.0,HOND,VN,WHITE,Transportation Article,False,WHITE,F,OLNEY,MD,MD,A - Marked Patrol,Yes,Citation
Headquarters and Special Operations,EXCEEDING POSTED MAXIMUM SPEED LIMIT: 75 MPH IN A POSTED 55 MPH ZONE,39.114537,-77.234242,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2009.0,TOYOTA,TK,GRAY,Transportation Article,False,HISPANIC,M,GAITHERSBURG,MD,MD,A - Marked Patrol,Measured,Citation
"2nd District, Bethesda",DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,39.026477,-77.14273,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2019.0,VOLKWAGEN,JETTA,RED,Transportation Article,False,OTHER,M,ROCKVILLE,MD,MD,A - Marked Patrol,No,Citation
"5th District, Germantown",FAILURE TO DISPLAY TAB ON PLATES OF VEH. AS REQUIRED BY ADM.,39.177303,-77.263767,No,No,No,No,No,No,No,No,No,No,MD,28 - Other,2007.0,HONDA,ODYSSEY,SILVER,Transportation Article,False,OTHER,F,GERMANTOWN,MD,MD,B - Unmarked Patrol,No,Warning
"4th District, Wheaton",FAILURE TO DRIVE VEHICLE ON RIGHT HALF OF ROADWAY WHEN REQUIRED,39.06436,-77.041057,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2005.0,CHEVY,CAV,SILVER,Transportation Article,False,BLACK,M,ROCKVILLE,MD,MD,A - Marked Patrol,No,Citation
"6th District, Gaithersburg / Montgomery Village",DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,39.157448,-77.212845,No,No,No,No,No,No,No,No,No,No,PA,02 - Automobile,2016.0,HONDA,ACCORD,BLACK,Transportation Article,False,BLACK,M,FREDERICK,MD,MD,A - Marked Patrol,No,Citation
"3rd District, Silver Spring",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,38.98977,-77.026552,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2015.0,HOND,TK,GRAY,Transportation Article,False,WHITE,F,SILVER SPRING,MD,MD,A - Marked Patrol,No,Warning
"4th District, Wheaton","NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY, LIFE AND PERSON",39.088907,-77.079707,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2008.0,NISSAN,ALTIMA,BLACK,Transportation Article,False,HISPANIC,F,SILVER SPRING,MD,MD,A - Marked Patrol,No,Warning
"3rd District, Silver Spring","NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY, LIFE AND PERSON",0.0,0.0,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2007.0,TOYOTA,4RUNNER,GRAY,Transportation Article,False,BLACK,M,BURTONSVILLE,MD,MD,A - Marked Patrol,No,Citation
"2nd District, Bethesda",EXCEEDING POSTED MAXIMUM SPEED LIMIT: 81 MPH IN A POSTED 55 MPH ZONE,39.051653,-77.152509,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2018.0,INFINITI,Q70 4DR,BLACK,Transportation Article,False,BLACK,M,FORT WASHINGTON,MD,MD,Q - Marked Laser,Measured,Citation
"5th District, Germantown",DRIVING UNDER THE INFLUENCE OF ALCOHOL PER SE,39.19712,-77.26503,No,No,No,No,No,No,No,Yes,No,No,VA,02 - Automobile,2014.0,TOYOTA,COROLLA,GRAY,Transportation Article,False,ASIAN,M,FAIRFAX,VA,VA,A - Marked Patrol,No,Citation
"3rd District, Silver Spring",DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,39.000973,-77.037702,No,No,No,No,No,No,No,No,No,No,VA,02 - Automobile,2020.0,VOLKSWAGON,GULF,RED,Transportation Article,False,WHITE,F,SILVER SPRING,MD,MD,A - Marked Patrol,No,Warning
"4th District, Wheaton",EXCEEDING THE POSTED SPEED LIMIT OF 20 MPH,39.192248,-77.021957,No,No,No,No,No,Yes,No,No,No,No,MD,02 - Automobile,2001.0,MAZDA,PROTEGE,SILVER,Transportation Article,False,WHITE,M,GERMANTOWN,MD,MD,A - Marked Patrol,Yes,Warning
"4th District, Wheaton",FAILURE OF DRIVER TO DRIVE TO CURB UPON SIGNAL BY POLICE VEH.,39.056762,-77.085013,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2009.0,SCION,XD,GRAY,Transportation Article,False,HISPANIC,F,SILVER SPRING,MD,MD,A - Marked Patrol,No,Warning
"5th District, Germantown",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,39.28861,-77.2014,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2016.0,KIA,SOUL,SILVER,Transportation Article,False,WHITE,M,MONROVIA,MD,MD,A - Marked Patrol,No,Warning
"3rd District, Silver Spring",EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH,39.015463,-76.977692,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2005.0,NISS,4S,BLUE,Transportation Article,False,BLACK,M,BOWIE,MD,MD,A - Marked Patrol,Yes,Warning
"2nd District, Bethesda",STOP LIGHTS (*),39.05382,-77.095375,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2000.0,BMW,2S,WHITE,Transportation Article,False,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,No,Repair Order
"1st District, Rockville",FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,0.0,0.0,No,No,No,No,No,No,No,No,No,Yes,MD,02 - Automobile,2015.0,DODGE,DART,GRAY,Transportation Article,False,BLACK,M,FREDERICK,MD,MD,A - Marked Patrol,No,Citation
"4th District, Wheaton",DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION SECONDARY ACTION,39.157478,-77.065371,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2006.0,HOND,VN,SILVER,Transportation Article,False,WHITE,F,BROOKEVILLE,MD,MD,O - Foot Patrol,No,Warning
"2nd District, Bethesda",DRIVER FAIL TO STOP AT STEADY RED ARROW SIGNAL,38.987042,-77.09871,No,No,No,Yes,No,No,No,No,No,No,MD,02 - Automobile,2009.0,HOND,CIVIC,BLACK,Transportation Article,False,WHITE,M,BETHESDA,MD,MD,A - Marked Patrol,No,Citation
"2nd District, Bethesda","NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY, LIFE AND PERSON",39.047555,-77.102191,No,No,No,Yes,No,No,No,No,No,No,MD,02 - Automobile,2011.0,TOYOTA,SIENNA,SILVER,Transportation Article,False,HISPANIC,F,SILVER SPRING,MD,MD,A - Marked Patrol,No,Warning
"3rd District, Silver Spring",DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,39.023382,-76.97405,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1998.0,TOYT,4S,WHITE,Transportation Article,False,BLACK,F,TAKOMA PARK,MD,MD,A - Marked Patrol,No,Warning
"6th District, Gaithersburg / Montgomery Village",FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,39.139583,-77.152318,No,No,No,No,No,No,No,No,No,No,MD,05 - Light Duty Truck,2016.0,JEEP,4D JEEP,BLACK,Transportation Article,False,WHITE,F,GAITHERSBURG,MD,MD,Q - Marked Laser,No,Warning
"3rd District, Silver Spring",DRIVER SPINNING WHEELS,39.016403,-77.005762,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2003.0,INFINITI,G35,BLACK,Transportation Article,False,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,No,Warning
"4th District, Wheaton",UNSAFE LANE CHANGING,39.129785,-77.071083,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2002.0,HOND,CIVIC,WHITE,Transportation Article,False,HISPANIC,M,ASHTON,MD,MD,A - Marked Patrol,No,Citation
"1st District, Rockville",DRIVING WRONG WAY--ONE WAY STREET,39.056368,-77.10823,No,No,No,No,No,No,No,No,No,No,MD,05 - Light Duty Truck,2001.0,FORD,VAN,WHITE,Transportation Article,False,WHITE,M,BALTIMORE,MD,MD,A - Marked Patrol,No,Citation
"5th District, Germantown",TAG LIGHTS (*),39.247372,-77.234502,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2009.0,CHEVROLET,MALIBU,SILVER,Transportation Article,False,WHITE,M,CUMBERLAND,MD,MD,A - Marked Patrol,No,Repair Order
"4th District, Wheaton",DRIVER FAIL TO STOP AT RED TRAFFIC SIGNAL BEFORE RIGHT TURN,0.0,0.0,No,No,No,No,No,No,No,No,No,No,NJ,02 - Automobile,2015.0,FORD,EXPLORER SUV,BLACK,Transportation Article,False,ASIAN,M,SILVER SPRING,MD,MD,B - Unmarked Patrol,No,Warning
"2nd District, Bethesda",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,39.030885,-77.072302,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2013.0,HONDA,4S,SILVER,Transportation Article,False,WHITE,F,ROCKVILLE,MD,MD,A - Marked Patrol,No,Warning
"1st District, Rockville",DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,39.126627,-77.173733,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2007.0,CHEV,SUBURBN,BROWN,Transportation Article,False,WHITE,M,GAITHERSBURG,MD,MD,A - Marked Patrol,No,Warning
"3rd District, Silver Spring",FAILURE TO SECURELY FASTEN REGISTRATION PLATE TO VEHICLE,39.000053,-77.011943,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2009.0,BMW,335I,GRAY,Transportation Article,False,BLACK,F,CHEVY CHASE,MD,MD,A - Marked Patrol,No,Warning
"5th District, Germantown",DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS,39.183378,-77.271395,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2015.0,TOYOTA,COROLA,GRAY,Transportation Article,False,BLACK,F,CLARKSBURG,MD,MD,A - Marked Patrol,No,Warning
"2nd District, Bethesda",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,38.987917,-77.082408,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2018.0,MAZD,TK,"BLUE, DARK",Transportation Article,False,ASIAN,M,ROCKVILLE,MD,MD,A - Marked Patrol,No,Warning
"5th District, Germantown",I.D. LAMP (*),39.163327,-77.282627,No,No,No,No,No,No,No,No,No,No,MD,25 - Utility Trailer,2006.0,LOTR,TL,BLACK,Transportation Article,False,HISPANIC,M,MOUNT AIRY,MD,MD,A - Marked Patrol,No,Repair Order
"4th District, Wheaton",DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL,0.0,0.0,No,No,No,No,No,No,No,Yes,No,No,MD,02 - Automobile,2015.0,JEEP,4D,BLACK,Transportation Article,False,HISPANIC,F,ROCKVILLE,MD,MD,A - Marked Patrol,No,Citation
"3rd District, Silver Spring","PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17-106, 26-204, 26-206, 27-103",38.999195,-76.995293,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2000.0,FORD,TK F150,GREEN,Transportation Article,False,HISPANIC,M,HYATTSVILLE,MD,MD,A - Marked Patrol,No,Citation
"2nd District, Bethesda",DRIVER FAILURE TO STOP AT STOP SIGN LINE,39.02319,-77.094642,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2018.0,CHEVROLET,SUBURBAN,BLUE,Transportation Article,False,WHITE,F,BETHESDA,MD,MD,A - Marked Patrol,No,Citation
"6th District, Gaithersburg / Montgomery Village","PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17-106, 26-204, 26-206, 27-103",39.188179,-77.159238,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1999.0,TOYT,4S,WHITE,Transportation Article,False,WHITE,M,GERMANTOWN,MD,MD,Q - Marked Laser,No,Citation
"4th District, Wheaton",OPER. MOTOR VEH. WITH OPERATOR NOT RESTRAINED BY SEAT BELT,0.0,0.0,No,No,No,No,No,No,No,No,No,No,MD,05 - Light Duty Truck,2013.0,TOYT,TK,SILVER,Transportation Article,False,WHITE,M,SILVER SPRING,MD,MD,L - Motorcycle,No,Citation
"2nd District, Bethesda",EXCEEDING THE POSTED SPEED LIMIT OF 55 MPH,39.046243,-77.149908,No,No,No,No,No,No,No,No,No,No,VA,02 - Automobile,2016.0,MAZDA,CX-5,RED,Transportation Article,False,WHITE,M,ASHBURN,VA,VA,A - Marked Patrol,Yes,Warning
"2nd District, Bethesda",DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,39.0193,-77.210742,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1998.0,OLDSMOBILE,88,SILVER,Transportation Article,False,WHITE,M,BEALLSVILLE,MD,MD,A - Marked Patrol,No,Warning
"5th District, Germantown",DRIVING MOTOR VEH. WHILE LIC. SUSPENDED UNDER 17-106,39.266498,-77.216408,No,No,No,No,No,No,No,No,No,No,MD,05 - Light Duty Truck,1999.0,FORD,E150 VAN,WHITE,Transportation Article,False,HISPANIC,M,GAITHERSBURG,MD,MD,S - License Plate Recognition,No,Citation
"3rd District, Silver Spring",TAG LIGHTS (*),0.0,0.0,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1998.0,TOYOTA,CAMRY,WHITE,Transportation Article,False,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,No,Repair Order
"5th District, Germantown",PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON REVOKED LICENSE AND PRIVILEGE,39.173359,-77.28392,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2010.0,HONDA,CIVIC,RED,Transportation Article,False,HISPANIC,M,GAITHERSBURG,MD,MD,A - Marked Patrol,No,Warning
"5th District, Germantown",EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH,39.173387,-77.283933,No,No,No,No,No,No,No,No,No,No,MD,03 - Station Wagon,1999.0,TOYOTA,4D,WHITE,Transportation Article,False,HISPANIC,M,GERMANTOWN,MD,MD,A - Marked Patrol,Yes,Warning
