SubAgency,Description,Latitude,Longitude,Accident,Belts,"Personal Injury","Property Damage",Fatal,"Commercial License","Commercial Vehicle",Alcohol,"Work Zone","Search Conducted",State,VehicleType,Year,Make,Model,Color,Article,"Contributed To Accident",Race,Gender,"Driver City","Driver State","DL State","Arrest Type","Violation Type"
"3rd District, Silver Spring","FAILURE TO DRIVE VEHICLE ON RIGHT HALF OF ROADWAY WHEN REQUIRED",0,0,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",1992,TOYOTA,TACOMA,RED,"Transportation Article",False,HISPANIC,M,"SILVER SPRING",MD,XX,"A - Marked Patrol",Citation
"4th District, Wheaton","FAILURE OF VEH. ON HWY. TO DISPLAY LIGHTED LAMPS, ILLUMINATING DEVICE IN UNFAVORABLE VISIBILITY COND",39.058568,-77.048337,No,No,No,No,No,No,No,No,No,No,MD,"03 - Station Wagon",2005,TOYOTA,SIENNA,SILVER,"Transportation Article",False,OTHER,F,"SILVER SPRING",MD,MD,"A - Marked Patrol",Citation
"3rd District, Silver Spring","OPERATING UNREGISTERED MOTOR VEHICLE ON HIGHWAY",39.07307,-76.956243,No,No,Yes,No,No,Yes,No,No,No,No,TX,"02 - Automobile",2006,ACURA,MDX,BLACK,"Transportation Article",False,HISPANIC,M,HOUSTON,TX,TX,"A - Marked Patrol",Citation
"4th District, Wheaton","FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION",39.093297,-76.98386,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2009,NISSAN,ALTIMA,GOLD,"Transportation Article",False,WHITE,M,"SILVER SPRING",MD,MD,"A - Marked Patrol",Citation
"3rd District, Silver Spring","DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION",38.962762,-77.089478,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2008,FORD,TRUCK,BLUE,"Transportation Article",False,HISPANIC,M,"SILVER SPRING",MD,MD,"A - Marked Patrol",Citation
"6th District, Gaithersburg / Montgomery Village","DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL",39.149828,-77.233743,Yes,No,No,No,No,No,No,No,No,No,MD,"01 - Motorcycle",2001,TOYT,CAMERY,RED,"Transportation Article",True,BLACK,F,"MONTGOMERY VILLAGE",MD,MD,"A - Marked Patrol",Citation
"4th District, Wheaton","PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED OUT-OF-STATE LICENSE",39.11091,-76.995457,No,No,No,No,No,No,No,No,No,Yes,IL,"02 - Automobile",1995,CHEVY,CORSICA,WHITE,"Transportation Article",False,WHITE,M,SALUNGA,PA,PA,"A - Marked Patrol",Citation
"2nd District, Bethesda","DRIVER FAILURE TO STOP AT STEADY CIRCULAR RED SIGNAL",39.032679,-77.074974,Yes,No,Yes,No,No,No,No,No,No,No,MD,"02 - Automobile",2006,MAZDA,6,GOLD,"Transportation Article",True,WHITE,F,ROCKVILLE,MD,MD,"A - Marked Patrol",Citation
"6th District, Gaithersburg / Montgomery Village","EXCEEDING MAXIMUM SPEED: 49 MPH IN A POSTED 30 MPH ZONE",39.184164,-77.171967,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2000,DODG,"CARAVAN VN",SILVER,"Transportation Article",False,HISPANIC,M,"MONTGOMERY VILLAGE",MD,MD,"Q - Marked Laser",Citation
"4th District, Wheaton","EXCEEDING MAXIMUM SPEED: 49 MPH IN A POSTED 40 MPH ZONE",39.073725,-77.007179,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2012,HONDA,SUV,SILVER,"Transportation Article",False,ASIAN,F,"SILVER SPRING",MD,MD,"O - Foot Patrol",Citation
"2nd District, Bethesda","DRIVING MOTOR VEH. WHILE LIC. SUSPENDED UNDER 26-204",39.029492,-77.118276,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",1999,LEXU,GS300,SILVER,"Transportation Article",False,BLACK,M,BALTIMORE,MD,MD,"S - License Plate Recognition",Citation
"3rd District, Silver Spring","DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL",39.042293,-76.999687,No,No,No,No,No,No,No,No,No,Yes,MD,"02 - Automobile",2002,TOYOTA,SEQUOIA,SILVER,"Transportation Article",False,HISPANIC,M,HYATTSVILLE,MD,MD,"A - Marked Patrol",Citation
"3rd District, Silver Spring","RECKLESS DRIVING VEHICLE IN WANTON AND WILLFUL DISREGARD FOR SAFETY OF PERSONS AND PROPERTY",39.045047,-76.991425,No,No,No,No,No,No,No,No,No,Yes,MD,"02 - Automobile",2005,ACURA,4S,"BLUE, DARK","Transportation Article",False,HISPANIC,M,"SILVER SPRING",MD,MD,"A - Marked Patrol",Citation
"Headquarters and Special Operations","DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION",39.097402,-77.19454,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2008,HOND,VN,BLUE,"Transportation Article",False,WHITE,F,"SILVER SPRING",MD,MD,"A - Marked Patrol",Citation
"1st District, Rockville","DRIVING TO DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION",39.07795,-77.130592,No,No,No,No,No,No,No,No,No,No,MD,"01 - Motorcycle",2014,ACURA,RDX,RED,"Transportation Article",False,WHITE,F,ROCKVILLE,MD,MD,"A - Marked Patrol",Citation
"5th District, Germantown","FAILURE TO ATTACH VEH. REG. PLATES AT FRONT AND REAR",39.183931,-77.261227,No,No,No,No,No,No,No,No,No,No,MD,"05 - Light Duty Truck",1994,DODG,VN,WHITE,"Transportation Article",False,BLACK,M,"SILVER SPRING",MD,MD,"A - Marked Patrol",Citation
"2nd District, Bethesda","DRIVER FAILURE TO STOP AT STOP SIGN LINE",39.031088,-77.16755,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2002,HONDA,CIVIC,BLACK,"Transportation Article",False,WHITE,M,POTOMAC,MD,MD,"A - Marked Patrol",Citation
"4th District, Wheaton","DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL",39.058377,-77.047915,No,No,No,No,No,No,No,No,No,Yes,MD,"02 - Automobile",2019,HONDA,ACCORD,BLACK,"Transportation Article",False,HISPANIC,M,CATONSVILLE,MD,MD,"A - Marked Patrol",Citation
"2nd District, Bethesda","EXCEEDING POSTED MAXIMUM SPEED LIMIT: 44 MPH IN A POSTED 35 MPH ZONE",38.97842,-77.130787,No,No,No,No,No,No,No,No,No,No,MD,"03 - Station Wagon",2015,VOLVO,V60,GRAY,"Transportation Article",False,WHITE,M,"CHEVY CHASE",MD,MD,"Q - Marked Laser",Citation
"Headquarters and Special Operations","PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17-106, 26-204, 26-206, 27-103",39.057385,-77.053258,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",1999,HONDA,ACCORD,GOLD,"Transportation Article",False,WHITE,M,ROCKVILLE,MD,MD,"A - Marked Patrol",Citation
"1st District, Rockville","FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION",39.11423,-77.185953,No,No,No,No,No,No,No,No,No,No,PA,"02 - Automobile",2005,DODG,STRATUS,GREEN,"Transportation Article",False,WHITE,M,GAITHERSBURG,MD,PA,"A - Marked Patrol",Citation
"6th District, Gaithersburg / Montgomery Village","EXCEEDING POSTED MAXIMUM SPEED LIMIT: 44 MPH IN A POSTED 35 MPH ZONE",39.157865,-77.204602,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2013,SUBA,"BRZ COUPE",BLACK,"Transportation Article",False,WHITE,F,POTOMAC,MD,MD,"Q - Marked Laser",Citation
"4th District, Wheaton","EXCEEDING MAXIMUM SPEED: 49 MPH IN A POSTED 40 MPH ZONE",39.070795,-77.01294,No,No,No,No,No,No,No,No,No,No,MD,"03 - Station Wagon",2005,FORD,TK,WHITE,"Transportation Article",False,ASIAN,F,OLNEY,MD,MD,"Q - Marked Laser",Citation
"Headquarters and Special Operations","DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL",38.990557,-77.022944,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2012,TOYOTA,SIENNA,GRAY,"Transportation Article",False,WHITE,M,"SILVER SPRING",MD,MD,"A - Marked Patrol",Citation
"1st District, Rockville","FAILURE TO CONTROL VEH. SPEED ON HWY. TO AVOID COLLISION",39.120253,-77.179785,No,No,No,Yes,No,No,No,No,No,No,MD,"02 - Automobile",2002,TOYT,4S,SILVER,"Transportation Article",False,OTHER,M,GAITHERSBURG,MD,MD,"A - Marked Patrol",Citation
"2nd District, Bethesda","EXCEEDING POSTED MAXIMUM SPEED LIMIT: 56 MPH IN A POSTED 25 MPH ZONE",38.97751,-77.103543,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2005,HONDA,CIVIC,BLUE,"Transportation Article",False,HISPANIC,M,FREDERICK,MD,MD,"B - Unmarked Patrol",Citation
"5th District, Germantown","EXCEEDING POSTED MAXIMUM SPEED LIMIT: 51 MPH IN A POSTED 35 MPH ZONE",39.247673,-77.156558,No,No,No,No,No,No,No,No,No,No,MD,"05 - Light Duty Truck",2003,FORD,TK,SILVER,"Transportation Article",False,WHITE,M,DAMASCUS,MD,MD,"Q - Marked Laser",Citation
"6th District, Gaithersburg / Montgomery Village","EXCEEDING MAXIMUM SPEED: 45 MPH IN A POSTED 30 MPH ZONE",39.185767,-77.176286,No,No,No,No,No,No,No,No,No,No,MD,"05 - Light Duty Truck",1990,FORD,"F350 STAKE DUAL",GREEN,"Transportation Article",False,HISPANIC,M,"MONTGOMERY VILLAGE",MD,XX,"Q - Marked Laser",Citation
"4th District, Wheaton","DRIVER FAIL TO STOP AT RED TRAFFIC SIGNAL BEFORE RIGHT TURN",39.079548,-77.074152,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2005,ACURA,TL,GRAY,"Transportation Article",False,HISPANIC,M,"SILVER SPRING",MD,MD,"A - Marked Patrol",Citation
"3rd District, Silver Spring","ATTEMPT BY DRIVER TO ELUDE POLICE IN OFFICIAL POLICE VEH. BY FLEEING ON FOOT",39.069515,-77.161823,No,No,No,No,No,No,No,No,No,Yes,MD,"02 - Automobile",2012,HONDA,CIVIC,GRAY,"Transportation Article",False,HISPANIC,M,HYATTSVILLE,MD,MD,"A - Marked Patrol",Citation
"3rd District, Silver Spring","DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE",38.99892,-77.017503,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2001,FORD,FOCUS,SILVER,"Transportation Article",False,WHITE,F,"TAKOMA PARK",MD,MD,"A - Marked Patrol",Citation
"4th District, Wheaton","DRIVING, ATTEMPTING TO DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION",39.01466,-77.034368,No,No,No,Yes,No,Yes,No,No,No,No,DC,"02 - Automobile",2019,TOYOTA,CAMRY,SILVER,"Transportation Article",False,HISPANIC,M,"SILVER SPRING",MD,MD,"A - Marked Patrol",Citation
"1st District, Rockville","DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL",0,0,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2004,MERZ,4S,BLACK,"Transportation Article",False,HISPANIC,M,POTOMAC,MD,MD,"A - Marked Patrol",Citation
"Headquarters and Special Operations","EXCEEDING POSTED MAXIMUM SPEED LIMIT: 49 MPH IN A POSTED 40 MPH ZONE",39.171135,-77.235672,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2021,HOND,SD,BLUE,"Transportation Article",False,OTHER,M,"MONTGOMERY VILLAGE",MD,MD,"A - Marked Patrol",Citation
"2nd District, Bethesda","FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER",39.030859,-77.075001,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2007,HONDA,"PILOT  SUV",GRAY,"Transportation Article",False,OTHER,F,"SILVER SPRING",MD,MD,"A - Marked Patrol",Citation
"4th District, Wheaton","USE OF SPECIAL REG. PLATE ON UNAUTHORIZED VEH.",39.03292,-77.07415,No,No,No,No,No,No,No,No,No,Yes,DC,"02 - Automobile",2004,FORD,TAURUS,GOLD,"Transportation Article",False,HISPANIC,M,ROCKVILLE,MD,MD,"A - Marked Patrol",Citation
"5th District, Germantown","EXCEEDING MAXIMUM SPEED: 64 MPH IN A POSTED 55 MPH ZONE",39.186669,-77.256507,No,No,No,No,No,No,No,No,No,No,PA,"02 - Automobile",1999,ACURA,2.3CL,BLACK,"Transportation Article",False,WHITE,F,"BETHEL PARK",PA,PA,"B - Unmarked Patrol",Citation
"4th District, Wheaton","FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND",39.040538,-77.05662,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2019,HONDA,CIVIC,WHITE,"Transportation Article",False,HISPANIC,F,WHEATON,MD,XX,"A - Marked Patrol",Citation
"5th District, Germantown","FAILURE TO CONTROL VEH. SPEED ON HWY. TO AVOID COLLISION",39.193417,-77.250635,No,No,No,Yes,No,No,No,No,No,No,MD,"02 - Automobile",2014,TOYOTA,CAMRY,TAN,"Transportation Article",False,"NATIVE AMERICAN",M,CLARKSBURG,MD,MD,"A - Marked Patrol",Citation
"5th District, Germantown","DRIVER ENTERING INTERSECTION AT FLASHING RED TRAFFIC SIGNAL WITHOUT STOPPING",39.16688,-77.280525,No,No,No,No,No,No,No,No,No,No,PA,"01 - Motorcycle",1999,TOYT,SOLARA,SILVER,"Transportation Article",False,WHITE,F,GETTYSBURG,PA,PA,"A - Marked Patrol",Citation
"4th District, Wheaton","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS",39.122943,-77.073708,No,No,No,No,No,No,No,No,No,No,MD,"28 - Other",2006,TOYOTA,HIGHLANDER,SILVER,"Transportation Article",False,ASIAN,M,"SILVER SPRING",MD,MD,"A - Marked Patrol",Citation
"5th District, Germantown","DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION",39.056903,-76.969117,No,No,No,No,No,No,No,No,No,No,VA,"05 - Light Duty Truck",2004,CHEVROLET,W4500,WHITE,"Transportation Article",False,WHITE,M,CULPEPPER,VA,VA,"A - Marked Patrol",Citation
"4th District, Wheaton","PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE",39.099408,-77.077438,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2007,HONDA,CIVIC,BLACK,"Transportation Article",False,WHITE,M,OLNEY,MD,MD,"A - Marked Patrol",Citation
"5th District, Germantown","OWNER KNOWINGLY PERMITTING MOTOR VEH. TO BE DRIVEN ON HWY. BY UNAUTHORIZED PERSON",39.231887,-77.246752,No,No,No,Yes,No,No,No,No,No,No,XX,"29 - Unknown",2008.503757,NONE,NONE,BLACK,"Transportation Article",False,WHITE,M,CLARKSBURG,MD,MD,"A - Marked Patrol",Citation
"2nd District, Bethesda","FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER",39.033889,-77.073117,Yes,No,Yes,No,No,No,No,No,No,No,MD,"02 - Automobile",2010,CHRYSLER,VAN,BLUE,"Transportation Article",True,HISPANIC,F,KENSINGTON,MD,MD,"A - Marked Patrol",Citation
"4th District, Wheaton","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS",39.041998,-77.052045,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2008,HYUNDAI,ELANTRA,"BLUE, DARK","Transportation Article",False,BLACK,M,"SILVER SPRING",MD,MD,"A - Marked Patrol",Citation
"2nd District, Bethesda","DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION",38.981853,-77.093347,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2007,JAGU,2S,BLACK,"Transportation Article",False,BLACK,M,CLINTON,MD,MD,"A - Marked Patrol",Citation
"3rd District, Silver Spring","DRIVING, ATTEMPTING TO DRIVE) MOTOR VEHICLE WITH ALCOHOL IN BLOOD IN VIOLATION OF RESTRICTION",39.006483,-77.039183,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",1996,JEEP,CHEROKEE,GREEN,"Transportation Article",False,BLACK,M,"SILVER SPRING",MD,MD,"A - Marked Patrol",Citation
"1st District, Rockville","PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE",39.07303,-77.077917,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2017,DODGE,CHARGER,BLACK,"Transportation Article",False,BLACK,M,"SILVER SPRING",MD,MD,"A - Marked Patrol",Citation
"4th District, Wheaton","DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE",39.1521,-77.066833,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2013,FORD,FUSION,GRAY,"Transportation Article",False,WHITE,F,CROWNSVILLE,MD,MD,"A - Marked Patrol",Citation
"6th District, Gaithersburg / Montgomery Village","DRIVING, ATTEMPTING TO DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION",39.15957,-77.208767,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2002,MITS,4S,SILVER,"Transportation Article",False,WHITE,F,GERMANTOWN,MD,MD,"A - Marked Patrol",Citation
"5th District, Germantown","FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION",39.253478,-77.197775,Yes,No,Yes,No,No,Yes,No,No,No,No,MD,"06 - Heavy Duty Truck",2016,INTL,DS,WHITE,"Transportation Article",True,WHITE,M,HAGERSTOWN,MD,MD,"A - Marked Patrol",Citation
"3rd District, Silver Spring","HOLDER OF LEARNERS PERMIT DRIVING W/O REQ. SUPERVISION",38.987701,-77.0991,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",1998,MITSU,4DR,SILVER,"Transportation Article",False,BLACK,M,"SILVER SPRING",MD,MD,"A - Marked Patrol",Citation
"4th District, Wheaton","KNOWINGLY DRIVING UNINSURED VEHICLE",39.061853,-77.052914,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2007,HONDA,ACCORD,WHITE,"Transportation Article",False,HISPANIC,F,"SILVER SPRING",MD,MD,"A - Marked Patrol",Citation
"5th District, Germantown","DRIVING MOTOR VEH. WHILE LIC. SUSPENDED UNDER  27-103",39.30024,-77.175432,No,No,No,No,No,No,No,Yes,No,No,MD,"02 - Automobile",1994,FORD,EXPLORER,GREEN,"Transportation Article",False,HISPANIC,M,HYATTSVILLE,MD,MD,"S - License Plate Recognition",Citation
"3rd District, Silver Spring","DRIVING WHILE IMPAIRED BY ALCOHOL",0,0,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2011,JEEP,COMPASS,WHITE,"Transportation Article",False,BLACK,F,GREENBELT,MD,MD,"A - Marked Patrol",Citation
"4th District, Wheaton","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS",39.056672,-77.082932,No,No,No,No,No,No,No,No,No,No,MD,"28 - Other",2010,FORD,VAN,WHITE,"Transportation Article",False,HISPANIC,M,"SILVER SPRING",MD,MD,"A - Marked Patrol",Citation
"Headquarters and Special Operations","OPERATOR NOT RESTRAINED BY SEATBELT",39.181512,-77.269257,No,No,No,No,No,No,No,No,No,No,MD,"05 - Light Duty Truck",1993,FORD,RANGER,GREEN,"Transportation Article",False,WHITE,M,GERMANTOWN,MD,MD,"B - Unmarked Patrol",Citation
"2nd District, Bethesda","DRIVING VEH. WHILE IMPAIRED BY ALCOHOL",39.058718,-77.048272,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2018,HONDA,ACORD,BLUE,"Transportation Article",False,HISPANIC,M,BELTSVILLE,MD,MD,"A - Marked Patrol",Citation
"3rd District, Silver Spring","DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION",38.999982,-76.994508,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2011,TOYOTA,RAV4,SILVER,"Transportation Article",False,BLACK,F,HYATTSVILLE,MD,MD,"A - Marked Patrol",Citation
"3rd District, Silver Spring","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS",0,0,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2012,"RANGE ROVER",SPORT,BLUE,"Transportation Article",False,BLACK,M,"SILVER SPRING",MD,MD,"A - Marked Patrol",Citation
"2nd District, Bethesda","DRIVING VEHICLE IN VIOLATION OF RESTRICTED LICENSE REQUIREMENT",39.040317,-77.114517,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2012,BUIC,4S,GRAY,"Transportation Article",False,WHITE,M,"NORTH BETHESDA",MD,MD,"A - Marked Patrol",Citation
"6th District, Gaithersburg / Montgomery Village","KNOWINGLY DRIVING / OWNER KNOWINGLY PERMITTING TO BE DRIVEN UNINSURED VEHICLE",39.158497,-77.19193,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2004,VOLK,4S,BLACK,"Transportation Article",False,BLACK,M,"MONTGOMERY VILLAGE",MD,MD,"A - Marked Patrol",Citation
"3rd District, Silver Spring","NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY, LIFE AND PERSON",39.04562,-76.994395,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2008,TOYOTA,TUNDRA,SILVER,"Transportation Article",False,HISPANIC,M,HYATTSVILLE,MD,MD,"A - Marked Patrol",Citation
"4th District, Wheaton","DRIVER CHANGING LANES WHEN UNSAFE",39.063586,-77.095428,No,No,No,Yes,No,No,No,No,No,No,MD,"02 - Automobile",2000,HOND,ODYSSEY,"GREEN, DK","Transportation Article",False,BLACK,F,"SILVER SPRING",MD,MD,"A - Marked Patrol",Citation
"3rd District, Silver Spring","DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION",38.992048,-77.027133,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2000,TOYOTA,COROLLA,WHITE,"Transportation Article",False,HISPANIC,M,HYATTSVILLE,MD,XX,"A - Marked Patrol",Citation
"2nd District, Bethesda","NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY, LIFE AND PERSON",38.98526,-77.09346,No,No,No,No,No,No,No,No,No,No,MD,"01 - Motorcycle",2011,HONDA,CRZ,WHITE,"Transportation Article",False,ASIAN,F,"MONTGOMERY VILLAGE",MD,MD,"A - Marked Patrol",Citation
"3rd District, Silver Spring","FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND",38.998155,-76.990207,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2006,TOYOTA,TUNDRA,SILVER,"Transportation Article",False,HISPANIC,M,"TAKOMA PARK",MD,MD,"A - Marked Patrol",Citation
"4th District, Wheaton","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS",39.058408,-77.048433,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2007,FORD,EDGE,GOLD,"Transportation Article",False,BLACK,M,"SILVER SPRING",MD,MD,"A - Marked Patrol",Citation
"3rd District, Silver Spring","DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION",39.075353,-77.001762,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",1996,HONDA,CIVIC,WHITE,"Transportation Article",False,HISPANIC,M,"SILVER SPRI NG",MD,MD,"A - Marked Patrol",Citation
"4th District, Wheaton","OPERATING VEHICLE ON HIGHWAY WITH UNAUTHORIZED WINDOW TINTING MATERIAL",39.070867,-77.012768,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2008,NISSAN,ALTIMA,WHITE,"Transportation Article",False,HISPANIC,F,FREDERICKSBURG,VA,VA,"Q - Marked Laser",Citation
"1st District, Rockville","DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION",39.118685,-77.171478,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2015,LEX,GS350,WHITE,"Transportation Article",False,ASIAN,M,GERMANTOWN,MD,MD,"A - Marked Patrol",Citation
"6th District, Gaithersburg / Montgomery Village","EXCEEDING MAXIMUM SPEED: 44 MPH IN A POSTED 35 MPH ZONE",39.157267,-77.205185,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2014,CHEVY,CRUZE,WHITE,"Transportation Article",False,WHITE,M,GAITHERSBURG,MD,MD,"Q - Marked Laser",Citation
"3rd District, Silver Spring","PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE",39.116969,-76.927793,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2007,BUICK,"4 DOOR",BLUE,"Transportation Article",False,BLACK,M,RANDALLSTOWN,MD,MD,"Q - Marked Laser",Citation
"4th District, Wheaton","DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION",39.079953,-77.073412,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",1996,DODG,VN,PURPLE,"Transportation Article",False,BLACK,F,"SILVER SPRING",MD,MD,"A - Marked Patrol",Citation
"2nd District, Bethesda","PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE",39.034876,-77.070422,No,Yes,No,No,No,No,No,No,No,No,MD,"02 - Automobile",1992,TOYT,CAMRY,GREEN,"Transportation Article",False,HISPANIC,M,"SILVER SPRING",MD,MD,"Q - Marked Laser",Citation
"Headquarters and Special Operations","DRIVING, ATTEMPTING TO DRIVE) VEH. WHILE SO FAR IMPAIRED BY DRUGS AND ALCOHOL CANNOT DRIVE SAFELY",39.047763,-76.991165,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2013,NISSAN,SW,GOLD,"Transportation Article",False,BLACK,M,COLUMBIA,MD,MD,"A - Marked Patrol",Citation
"4th District, Wheaton","KNOWINGLY DRIVING UNINSURED VEHICLE",0,0,No,No,No,No,No,No,No,No,No,No,TX,"02 - Automobile",2012,NISSAN,ALTIMA,WHITE,"Transportation Article",False,HISPANIC,M,"SILVER SPRING",MD,MD,"A - Marked Patrol",Citation
"3rd District, Silver Spring","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS",39.041157,-76.992433,No,No,No,No,No,No,No,No,No,Yes,MD,"02 - Automobile",2004,BMW,4DOOR,"BLUE, DARK","Transportation Article",False,BLACK,M,LAUREL,MD,MD,"A - Marked Patrol",Citation
"Headquarters and Special Operations","EXCEEDING POSTED MAXIMUM SPEED LIMIT: 49 MPH IN A POSTED 40 MPH ZONE",39.15838,-77.074508,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2016,CHEVY,CAMERO,SILVER,"Transportation Article",False,OTHER,M,GAITHERSBURG,MD,MD,"Q - Marked Laser",Citation
